q4,q5a,q5c,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,2.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Very favorable,Britain,1.0,5.0,3.0,1.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,1.0,2.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Don't know (DO NOT READ),Somewhat favorable,Britain,1.0,2.0,,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Very favorable,Somewhat unfavorable,Britain,1.0,2.0,1.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Satisfied,Very unfavorable,Somewhat favorable,Britain,1.0,2.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Very favorable,Britain,1.0,2.0,2.0,1.0,
Dissatisfied,Don't know (DO NOT READ),Don't know (DO NOT READ),Britain,1.0,5.0,,,
Dissatisfied,Very favorable,Don't know (DO NOT READ),Britain,1.0,5.0,1.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,2.0,2.0,,
Dissatisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,4.0,,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Don't know (DO NOT READ),Don't know (DO NOT READ),Don't know (DO NOT READ),Britain,1.0,,,,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Dissatisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,4.0,,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Don't know (DO NOT READ),Very favorable,Very favorable,Britain,1.0,,1.0,1.0,
Dissatisfied,Don't know (DO NOT READ),Somewhat unfavorable,Britain,1.0,5.0,,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Don't know (DO NOT READ),Somewhat favorable,Very favorable,Britain,1.0,,2.0,1.0,
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,2.0,3.0,3.0,
Dissatisfied,Don't know (DO NOT READ),Don't know (DO NOT READ),Britain,1.0,5.0,,,
Satisfied,Refused (DO NOT READ),Very unfavorable,Britain,1.0,2.0,,4.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Very favorable,Don't know (DO NOT READ),Britain,1.0,5.0,1.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Don't know (DO NOT READ),Don't know (DO NOT READ),Britain,1.0,2.0,,,
Don't know (DO NOT READ),Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,,2.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,4.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,1.0,2.0,4.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Very favorable,Somewhat unfavorable,Britain,1.0,2.0,1.0,3.0,
Satisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,3.0,,
Satisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,3.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Very favorable,Britain,1.0,2.0,2.0,1.0,
Satisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,4.0,,
Satisfied,Very favorable,Somewhat favorable,Britain,1.0,2.0,1.0,2.0,
Dissatisfied,Very favorable,Very favorable,Britain,1.0,5.0,1.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Satisfied,Very unfavorable,Somewhat favorable,Britain,1.0,2.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,5.0,2.0,3.0,
Don't know (DO NOT READ),Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,,3.0,,
Don't know (DO NOT READ),Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,,3.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Very favorable,Somewhat favorable,Britain,1.0,2.0,1.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,5.0,2.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Don't know (DO NOT READ),Somewhat favorable,Somewhat favorable,Britain,1.0,,2.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Don't know (DO NOT READ),Somewhat favorable,Britain,1.0,5.0,,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,5.0,2.0,3.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,1.0,5.0,2.0,1.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Satisfied,Very unfavorable,Somewhat unfavorable,Britain,1.0,2.0,4.0,3.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,5.0,2.0,3.0,
Dissatisfied,Don't know (DO NOT READ),Somewhat favorable,Britain,1.0,5.0,,2.0,
Satisfied,Very favorable,Somewhat favorable,Britain,1.0,2.0,1.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,3.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,3.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Don't know (DO NOT READ),Somewhat unfavorable,Somewhat favorable,Britain,1.0,,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,5.0,2.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Don't know (DO NOT READ),Don't know (DO NOT READ),Britain,1.0,5.0,,,
Satisfied,Somewhat favorable,Very favorable,Britain,1.0,2.0,2.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Don't know (DO NOT READ),Somewhat favorable,Britain,1.0,2.0,,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,2.0,2.0,,
Satisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,3.0,,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Don't know (DO NOT READ),Very favorable,Britain,1.0,2.0,,1.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,3.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Don't know (DO NOT READ),Somewhat favorable,Somewhat favorable,Britain,1.0,,2.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Don't know (DO NOT READ),Somewhat favorable,Somewhat favorable,Britain,1.0,,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Satisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,2.0,2.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,2.0,2.0,,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Satisfied,Very favorable,Very favorable,Britain,1.0,2.0,1.0,1.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,2.0,3.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Very favorable,Don't know (DO NOT READ),Britain,1.0,2.0,1.0,,
Satisfied,Very favorable,Very favorable,Britain,1.0,2.0,1.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,1.0,5.0,2.0,4.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Very favorable,Britain,1.0,5.0,2.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Very favorable,Somewhat unfavorable,Britain,1.0,5.0,1.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Very favorable,Very favorable,Britain,1.0,5.0,1.0,1.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,1.0,5.0,1.0,2.0,
Dissatisfied,Don't know (DO NOT READ),Very favorable,Britain,1.0,5.0,,1.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Very favorable,Britain,1.0,2.0,3.0,1.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Very unfavorable,Somewhat favorable,Britain,1.0,2.0,4.0,2.0,
Don't know (DO NOT READ),Somewhat favorable,Somewhat unfavorable,Britain,1.0,,2.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Satisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,4.0,,
Dissatisfied,Very unfavorable,Very favorable,Britain,1.0,5.0,4.0,1.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,3.0,,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,5.0,3.0,3.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Satisfied,Somewhat favorable,Somewhat unfavorable,Britain,1.0,2.0,2.0,3.0,
Satisfied,Very favorable,Somewhat favorable,Britain,1.0,2.0,1.0,2.0,
Dissatisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,5.0,2.0,,
Dissatisfied,Somewhat unfavorable,Don't know (DO NOT READ),Britain,1.0,5.0,3.0,,
Dissatisfied,Very favorable,Somewhat favorable,Britain,1.0,5.0,1.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Somewhat favorable,Don't know (DO NOT READ),Britain,1.0,2.0,2.0,,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Very favorable,Somewhat favorable,Britain,1.0,2.0,1.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat unfavorable,Britain,1.0,2.0,3.0,3.0,
Dissatisfied,Very unfavorable,Somewhat favorable,Britain,1.0,5.0,4.0,2.0,
Dissatisfied,Somewhat favorable,Very unfavorable,Britain,1.0,5.0,2.0,4.0,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Very favorable,Somewhat favorable,Britain,1.0,5.0,1.0,2.0,
Satisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,2.0,3.0,2.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Dissatisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,5.0,2.0,2.0,
Satisfied,Don't know (DO NOT READ),Somewhat favorable,Britain,1.0,2.0,,2.0,
Dissatisfied,Very unfavorable,Somewhat unfavorable,Britain,1.0,5.0,4.0,3.0,
Satisfied,Somewhat unfavorable,Very unfavorable,Britain,1.0,2.0,3.0,4.0,
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Britain,1.0,5.0,3.0,2.0,
Satisfied,Very unfavorable,Don't know (DO NOT READ),Britain,1.0,2.0,4.0,,
Satisfied,Somewhat favorable,Somewhat favorable,Britain,1.0,2.0,2.0,2.0,
Dissatisfied,Somewhat unfavorable,Very unfavorable,Britain,1.0,5.0,3.0,4.0,
